0
16
16
d 5 1 1 5 7 f 9 5 1 5 5 5 7 d 3
9 7 a c 5 5 5 2 f c 5 5 1 5 3 a
a f a f f 9 7 a d 1 5 3 a f a a
c 5 4 1 3 c 5 2 f a d 6 c 3 c 2
f b f a a b b c 5 6 f 9 5 6 f a
d 4 5 2 a c 0 5 3 f f a f 9 5 6
d 1 3 a a d 6 f 8 1 5 6 d 4 5 3
f a a c 2 d 3 9 2 c 3 9 5 1 7 a
f c 4 3 a f a c 4 7 a e f a f a
9 3 b c 4 3 a f 9 3 8 3 f a 9 6
a a c 5 5 2 c 5 6 c 6 a 9 4 6 b
a c 5 5 3 c 5 5 5 5 5 6 8 5 5 2
a f f f a b f f b 9 5 5 6 f b a
a f f d 0 4 1 5 4 6 9 5 5 1 2 a
8 3 9 3 8 5 0 1 5 5 2 f f e e a
e c 6 c 6 f e e f f c 5 5 5 5 6

