0
16
16
9 3 9 5 5 5 1 5 5 5 5 3 9 3 9 3
a a a 9 3 9 6 9 5 5 5 6 a a a a
a c 6 a 8 4 7 c 5 5 5 3 a c 6 a
8 5 5 6 a 9 5 5 5 5 5 2 c 5 3 a
a 9 5 1 6 a 9 1 5 3 9 6 9 5 2 a
8 6 9 6 b a a 8 3 a c 3 a 9 6 a
a 9 4 5 2 a 8 2 e a 9 6 8 4 3 a
8 6 9 5 2 a a 8 3 a a 9 4 1 6 a
8 1 4 3 a a a 8 6 a 8 6 9 4 7 a
a c 3 c 2 a a 8 3 c 6 9 4 7 b a
c 5 4 5 2 8 2 a a 9 5 2 d 1 2 a
9 5 5 5 2 a a 8 2 8 5 6 9 6 a a
c 5 3 d 2 c 4 2 c 2 9 3 a 9 6 a
9 3 8 3 8 5 3 c 5 6 a a a 8 5 6
a a a a a d 4 5 5 5 6 c 6 c 5 3
e c 6 c 4 5 5 5 5 5 5 5 5 5 5 6

