0
16
16
9 7 9 5 5 5 5 5 5 5 5 5 1 3 9 3
8 5 6 9 1 5 5 5 5 5 5 3 e a a a
8 7 9 6 a 9 5 1 5 3 d 4 3 c 6 a
a d 0 5 6 a d 0 7 a 9 3 8 5 3 a
a d 0 7 9 6 d 0 7 c 6 a a d 2 a
a 9 4 3 c 3 d 0 7 9 3 a c 3 a a
a 8 5 4 3 a d 0 5 6 a c 3 a a a
a c 5 3 a c 3 8 3 9 6 b a a a a
a 9 5 6 a 9 6 c 6 c 3 c 2 a a a
a c 5 3 c 4 3 9 3 9 6 9 6 a a a
a 9 5 6 9 3 c 6 c 6 b a d 2 a a
a 8 5 5 6 a 9 1 5 3 c 2 9 6 a a
a 8 3 9 3 c 6 c 5 2 9 6 a b a a
a a c 6 8 1 7 9 3 c 4 3 a 8 6 a
a a b b e c 5 6 c 5 5 4 6 a d 2
e c 4 4 5 5 5 5 5 5 5 5 5 4 5 6

